,GardaStation,PopulationTotalMale,PopulationTotalFemale,PopulationTotal,PrincipalStatusAtWork,PrincipalStatusLookingForFirstJob,PrincipalStatusUnemployed,PrincipalStatusStudent,PrincipalStatusLookingAfterHome/Family,PrincipalStatusRetired,PrincipalStatusUnableToWork,PrincipalStatusOther,SocialClassProfessionalWorkers,SocialClassManagerialAndTechnical,SocialClassNonManual,SocialClassSkilledManual,SocialClassSemiSkilled,SocialClassUnskilled,SocialClassOther,AgeEducationCeasedUnder15,AgeEducationCeasedAge15,AgeEducationCeasedAge16,AgeEducationCeasedAge17,AgeEducationCeasedAge18,AgeEducationCeasedAge19,AgeEducationCeasedAge20,AgeEducationCeasedAge21+,AgeEducationCeasedNotStated,EducationNotCeasedStillAtSchool,EducationNotCeasedOther,HighestLevelEducationNoFormalEducation,HighestLevelEducationPrimary,HighestLevelEducationLowerSecondary,HighestLevelEducationUpperSecondary,HighestLevelEducationTechnicalQualification,HighestLevelEducationAdvCert/Apprenticeship,HighestLevelEducationHigherCertificate,HighestLevelEducationOrdinaryBachelorDegree,HighestLevelEducationHonoursBachelorDegree,HighestLevelEducationPostgraduateDegree,HighestLevelEducationDoctorate,HighestLevelEducationNotStated,GeneralHealthVeryGood,GeneralHealthGood,GeneralHealthFair,GeneralHealthBad,GeneralHealthVeryBad,GeneralHealthNotStated,Total_Under18Male,Total_Under18Female,Total_Under18
0,Kevin Street,14740,14332,29072,13293,410,3015,4736,1158,1997,1126,75,2164,6063,4136,3118,3162,1544,8885,1893,869,1024,1031,1477,634,645,6390,4627,4736,2484,238,2840,1962,2726,1256,681,746,1565,2423,2646,283,1224,15946,8625,2548,476,116,1361,2077,2072,4149
1,Kilmainham,11724,12183,23907,11192,228,2399,2075,1127,2267,1196,49,1917,6117,3405,2664,2570,1083,6151,1714,820,1116,946,1306,506,585,5367,4340,2075,1758,211,2581,1984,2283,1200,645,635,1259,2344,2208,199,1151,13045,6712,2357,524,171,1098,2085,1996,4081
2,Dun Laoghaire,17676,19938,37614,15146,176,2039,3884,2962,6187,993,54,5395,14892,5905,3095,2261,821,5245,1393,845,1538,1716,3025,918,927,9263,6637,3884,1295,221,2403,2664,4852,1707,939,1169,2599,3914,4173,551,1070,23149,10073,2938,502,124,828,4006,3976,7982
3,Cabinteely,15800,16954,32754,13227,153,1571,3710,2849,4235,616,50,4629,13321,5682,2949,1657,569,3947,865,642,1259,1524,2700,866,824,6659,6167,3710,1195,155,1616,2289,4653,1454,840,1090,2123,3244,2917,336,789,21554,8113,2025,303,74,685,4157,3983,8140
4,Shankill,10929,11765,22694,9171,174,1670,2321,1757,2085,632,54,2137,7616,4155,2897,1852,689,3348,923,664,1174,1020,1632,565,485,3575,4585,2321,920,176,1611,2183,2913,1150,673,682,1216,1642,1532,171,674,14517,5784,1618,256,57,462,3218,2969,6187
5,Blanchardstown,48192,49886,98078,42376,1007,8585,7726,6018,4626,2214,153,8355,28912,17826,13556,8709,2864,17856,2524,2136,3753,4760,6780,2541,2473,15244,17273,7726,7495,607,4392,7441,11886,5248,3136,3050,5302,6877,5916,515,3114,62945,25938,5398,904,195,2698,15255,14502,29757
6,Balbriggan,11746,12296,24042,9191,267,2235,1642,1666,1218,715,49,1197,5874,4737,3920,2650,870,4794,845,633,1184,1284,1815,693,560,2582,4163,1642,1582,196,1442,2257,3153,1529,974,708,1048,1024,785,67,576,15012,6532,1638,281,66,513,4134,3892,8026
7,Ballyfermot,13247,14332,27579,9627,339,3234,1922,2074,3133,1843,53,894,4708,4819,5121,4037,1737,6263,3807,1771,2249,1651,1934,577,436,2371,4260,1922,1247,516,5222,3993,3196,1507,750,517,764,893,788,77,833,14998,8213,3122,546,133,567,3426,3286,6712
8,Ballymun,10408,11267,21675,6870,269,2778,2307,1644,2310,968,40,667,3556,3760,3077,2790,1149,6676,1857,993,1445,1288,1632,455,323,1642,3839,2307,1405,266,2892,2870,2761,1082,510,352,511,684,533,73,940,11863,6412,2150,426,75,749,2993,2893,5886
9,BlackrockCoDublin,15003,16975,31978,13827,145,1152,4352,2363,4091,524,57,6643,14073,4280,1510,1016,256,4200,447,314,787,1075,2295,718,924,9970,4476,4352,1153,113,812,1225,3496,977,645,938,2440,4441,4630,737,552,21700,7535,1883,284,65,511,3563,3469,7032
10,BridewellDublin,11883,11111,22994,10800,340,2773,2769,965,1721,994,59,1691,4900,3541,2554,2622,1388,6298,1519,717,967,868,1414,615,526,5332,3711,2769,1983,252,2262,1809,2521,1113,550,588,1247,2072,2098,207,950,12200,7194,2209,438,91,862,1636,1546,3182
11,Cabra,10342,11509,21851,9363,184,1757,1768,1475,2671,854,42,1603,5965,3941,3383,2210,1059,3690,1880,818,1315,1221,1623,489,467,3494,3943,1768,1096,252,2784,2182,2676,1050,627,577,993,1539,1478,127,965,12694,6025,1916,371,70,775,2366,2331,4697
12,Clontarf,17749,19494,37243,16745,244,1845,3784,2405,5361,875,70,4634,14172,6884,3878,2393,719,4563,1445,917,1788,1966,3353,909,903,7772,6991,3784,1501,159,2595,3173,5166,1735,1099,1187,2284,3704,3582,380,980,23158,9954,2903,419,84,725,3949,3698,7647
13,Coolock,25244,26969,52213,20131,418,5113,3952,3939,5554,2103,75,1840,10355,10912,10235,6454,2406,10011,4571,2687,3893,3124,4158,1191,845,4363,10147,3952,2354,479,6992,7738,6955,3063,1824,1108,1614,1978,1347,86,1795,29876,15359,4671,795,169,1343,6946,6642,13588
14,Donnybrook,13507,15191,28698,13484,129,1139,5040,1383,3551,558,79,5994,9764,3415,1300,1009,297,6919,532,295,593,733,1410,517,646,9413,4880,5040,1304,134,921,945,2312,731,453,722,1932,4357,4565,669,1278,18317,6785,1853,342,123,1278,2286,2157,4443
15,Airport,260,147,407,263,2,17,23,19,44,5,0,50,128,51,18,15,2,143,4,5,13,9,21,5,6,114,150,23,23,3,8,12,30,16,8,15,30,70,44,17,74,209,112,15,4,1,66,19,22,41
16,Finglas,19732,21313,41045,15742,394,4325,2818,3007,4212,1636,173,1356,8182,7513,7211,5277,2177,9329,3534,1853,2589,2271,2929,1009,733,3557,8602,2818,2412,483,5806,5336,5018,2416,1295,809,1236,1636,1161,79,1802,22845,12029,4011,711,155,1294,5563,5160,10723
17,Fitzgibbon Street,9828,9500,19328,8250,430,2538,2532,862,1381,805,52,982,3244,2382,2261,2155,1310,6994,1294,608,699,587,1036,420,379,2998,4330,2532,1967,232,2009,1579,1880,881,441,496,859,1189,1155,115,1515,9643,5979,1830,398,97,1381,1511,1573,3084
18,Garristown,1893,1793,3686,1440,20,223,280,302,334,122,9,306,1110,627,571,346,119,607,154,113,218,190,280,99,79,355,825,280,137,58,301,439,456,221,177,94,161,175,108,13,110,2375,931,232,32,9,107,604,532,1136
