X,Y,OBJECTID,Name,Type,Location_Comment,Streetview_Link,WGS84Longitude,WGS84Latitude
-8.591693578968973,53.899114853742518,1,Ballaghdereen  Community Park,Community Parks & Sports Parks,,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.8991148547774&amp;Lng=-8.59169357956257",-8.591693,53.899115
-8.206187098538186,54.073277176676768,2,Ballyfarnon,Community Parks & Sports Parks,,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=54.0732771778908&amp;Lng=-8.2061870991489",-8.206187,54.073277
-8.138442958448783,54.051170887253484,3,"OCarolan Park, Keadue",Community Parks & Sports Parks,,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=54.0511708882121&amp;Lng=-8.13844295918524",-8.138443,54.05117
-8.244091559832082,53.929830022633169,4,Cavetown Lake,Community Parks & Sports Parks,,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.9298300239737&amp;Lng=-8.24409155976011",-8.244092,53.92983
-7.976136298316556,53.424379882462382,5,Cushla Monksland,Community Parks & Sports Parks,Sports pitches,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.4243798829879&amp;Lng=-7.9761362982013",-7.976136,53.42438
-8.22197664982323,53.511597955154585,6,Tisara Sports Park,Community Parks & Sports Parks,,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.5115979564552&amp;Lng=-8.22197665054071",-8.221977,53.511598
